"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3560","userCannotCreateOrderWithInvalidIngredientHash","","Mon Jul 07 13:23:16 GMT+05:00 2025","passed","Mon Jul 07 13:23:20 GMT+05:00 2025","","site.nomoreparties.stellarburgers.order.CreateOrderNegativeTest","site.nomoreparties.stellarburgers.order.CreateOrderNegativeTest","userCannotCreateOrderWithInvalidIngredientHash"
"","4799","unauthorizedUserCannotGetOrders","","Mon Jul 07 13:23:33 GMT+05:00 2025","passed","Mon Jul 07 13:23:38 GMT+05:00 2025","","site.nomoreparties.stellarburgers.order.GetOrdersTest","site.nomoreparties.stellarburgers.order.GetOrdersTest","unauthorizedUserCannotGetOrders"
"","4946","authorizedUserCanGetOrders","","Mon Jul 07 13:23:28 GMT+05:00 2025","passed","Mon Jul 07 13:23:33 GMT+05:00 2025","","site.nomoreparties.stellarburgers.order.GetOrdersTest","site.nomoreparties.stellarburgers.order.GetOrdersTest","authorizedUserCanGetOrders"
"","736","loginFailsWithInvalidPassword","","Mon Jul 07 13:23:41 GMT+05:00 2025","passed","Mon Jul 07 13:23:42 GMT+05:00 2025","","site.nomoreparties.stellarburgers.user.LoginUserTest","site.nomoreparties.stellarburgers.user.LoginUserTest","loginFailsWithInvalidPassword"
"","271","userCreationWithMissingFieldShouldReturnError[email: user@yandex.ru, password: null, name: TestUser]","","Mon Jul 07 13:23:38 GMT+05:00 2025","passed","Mon Jul 07 13:23:39 GMT+05:00 2025","","site.nomoreparties.stellarburgers.user.CreateUserNegativeParamTest","site.nomoreparties.stellarburgers.user.CreateUserNegativeParamTest","userCreationWithMissingFieldShouldReturnError[email: user@yandex.ru, password: null, name: TestUser]"
"","678","loginFailsWithInvalidEmail","","Mon Jul 07 13:23:40 GMT+05:00 2025","passed","Mon Jul 07 13:23:41 GMT+05:00 2025","","site.nomoreparties.stellarburgers.user.LoginUserTest","site.nomoreparties.stellarburgers.user.LoginUserTest","loginFailsWithInvalidEmail"
"","260","userCreationWithMissingFieldShouldReturnError[email: null, password: password123, name: TestUser]","","Mon Jul 07 13:23:38 GMT+05:00 2025","passed","Mon Jul 07 13:23:38 GMT+05:00 2025","","site.nomoreparties.stellarburgers.user.CreateUserNegativeParamTest","site.nomoreparties.stellarburgers.user.CreateUserNegativeParamTest","userCreationWithMissingFieldShouldReturnError[email: null, password: password123, name: TestUser]"
"","1019","userCanBeCreated","","Mon Jul 07 13:23:45 GMT+05:00 2025","passed","Mon Jul 07 13:23:46 GMT+05:00 2025","","site.nomoreparties.stellarburgers.user.CreateUserTest","site.nomoreparties.stellarburgers.user.CreateUserTest","userCanBeCreated"
"","1310","createDuplicateUserReturnsError","","Mon Jul 07 13:23:43 GMT+05:00 2025","passed","Mon Jul 07 13:23:45 GMT+05:00 2025","","site.nomoreparties.stellarburgers.user.CreateUserTest","site.nomoreparties.stellarburgers.user.CreateUserTest","createDuplicateUserReturnsError"
"","293","userCreationWithMissingFieldShouldReturnError[email: user@yandex.ru, password: password123, name: null]","","Mon Jul 07 13:23:39 GMT+05:00 2025","passed","Mon Jul 07 13:23:39 GMT+05:00 2025","","site.nomoreparties.stellarburgers.user.CreateUserNegativeParamTest","site.nomoreparties.stellarburgers.user.CreateUserNegativeParamTest","userCreationWithMissingFieldShouldReturnError[email: user@yandex.ru, password: password123, name: null]"
"","1386","userCanLoginWithValidCredentials","","Mon Jul 07 13:23:39 GMT+05:00 2025","passed","Mon Jul 07 13:23:40 GMT+05:00 2025","","site.nomoreparties.stellarburgers.user.LoginUserTest","site.nomoreparties.stellarburgers.user.LoginUserTest","userCanLoginWithValidCredentials"
"","2118","userCanCreateOrderWithoutAuth","","Mon Jul 07 13:23:22 GMT+05:00 2025","passed","Mon Jul 07 13:23:24 GMT+05:00 2025","","site.nomoreparties.stellarburgers.order.CreateOrderTest","site.nomoreparties.stellarburgers.order.CreateOrderTest","userCanCreateOrderWithoutAuth"
"","1720","userCannotCreateOrderWithoutIngredients","","Mon Jul 07 13:23:20 GMT+05:00 2025","passed","Mon Jul 07 13:23:22 GMT+05:00 2025","","site.nomoreparties.stellarburgers.order.CreateOrderNegativeTest","site.nomoreparties.stellarburgers.order.CreateOrderNegativeTest","userCannotCreateOrderWithoutIngredients"
"","1483","userCanUpdateDataWithAuth","","Mon Jul 07 13:23:42 GMT+05:00 2025","passed","Mon Jul 07 13:23:43 GMT+05:00 2025","","site.nomoreparties.stellarburgers.user.UpdateUserTest","site.nomoreparties.stellarburgers.user.UpdateUserTest","userCanUpdateDataWithAuth"
"","271","userCannotUpdateDataWithoutAuth","","Mon Jul 07 13:23:43 GMT+05:00 2025","passed","Mon Jul 07 13:23:43 GMT+05:00 2025","","site.nomoreparties.stellarburgers.user.UpdateUserTest","site.nomoreparties.stellarburgers.user.UpdateUserTest","userCannotUpdateDataWithoutAuth"
"","4469","userCanCreateOrderWithAuthAndIngredients","","Mon Jul 07 13:23:24 GMT+05:00 2025","passed","Mon Jul 07 13:23:28 GMT+05:00 2025","","site.nomoreparties.stellarburgers.order.CreateOrderTest","site.nomoreparties.stellarburgers.order.CreateOrderTest","userCanCreateOrderWithAuthAndIngredients"
